"Lyerla, Colt",Oregon,TE,5.33,76,32.75,242,10.25,4.61,15.0,39.0,128.0,,
"Lynch, Aaron",South Florida,DL,5.24,77,34.0,249,10.25,,18.0,,,,
"Lynch, Arthur",Georgia,TE,5.1,77,32.5,258,10.125,4.82,28.0,29.5,116.0,7.38,4.35
"Lynch, Jordan",Northern Illinois,QB,5.05,72,29.75,217,8.875,4.76,,29.5,109.0,6.55,4.2
"Mack, Khalil",Buffalo,LB,6.7,75,33.25,251,10.25,4.65,23.0,40.0,128.0,7.08,4.18
"Mandell, Cody",Alabama,ST/P,5.09,74,31.125,216,9.75,4.89,,27.0,,,
"Manumaleuna, Eathy",BYU,DL,5.15,74,32.25,296,10.0,5.16,29.0,28.0,101.0,7.78,
"Manziel, Johnny",Texas A&M,QB,5.9,75,31.375,207,9.875,4.68,,31.5,113.0,6.75,4.03
"Marsh, Cassius",UCLA,DL,5.37,76,32.75,252,9.5,4.89,14.0,32.0,108.0,7.08,
"Martin, Kareem",North Carolina,DL,5.26,78,35.0,272,10.0,4.72,22.0,35.5,129.0,7.2,
"Martin, Marcus",USC,OL,5.5,75,34.0,320,10.0,,23.0,,,,
"Martin, Zack",Notre Dame,OL,5.97,76,32.875,308,9.5,,29.0,28.0,106.0,7.65,4.59
"Mason, Tre",Auburn,RB,5.75,68,30.0,207,9.0,4.5,,38.5,126.0,,4.15
"Mathews, Jeff",Cornell,QB,5.2,76,32.125,223,10.125,5.26,,25.5,105.0,7.14,4.36
"Matthews, Jake",Texas A&M,OL,6.7,77,33.375,308,9.875,5.07,24.0,30.5,105.0,7.34,4.47
"Matthews, Jordan",Vanderbilt,WO,5.6,75,33.25,212,10.375,4.46,21.0,35.5,120.0,6.95,4.18
"Mauro, Josh",Stanford,DL,5.2,78,33.0,271,9.5,5.21,21.0,32.0,116.0,7.43,
"McCarron, AJ",Alabama,QB,5.65,75,31.5,220,10.0,4.94,,28.0,99.0,7.18,4.34
"McCullers, Daniel",Tennessee,DL,5.65,79,36.625,352,11.0,,27.0,20.5,97.0,,
"McDougle, Dexter",Maryland,DB,5.12,70,30.625,196,9.625,,,,,,
"McGill, Keith",Utah,DB,5.35,75,33.25,211,10.25,4.51,,39.0,129.0,7.29,4.18
"McKinnon, Jerick",Georgia Southern,RB,5.24,69,30.25,209,8.625,4.41,32.0,40.5,132.0,6.83,4.12
"Mettenberger, Zach",LSU,QB,5.27,77,32.375,224,9.75,,,,,,
"Mewhort, Jack",Ohio St.,OL,5.6,78,34.0,309,9.75,5.37,28.0,26.0,101.0,7.79,4.64
"Millard, Trey",Oklahoma,RB,5.12,74,31.0,247,9.125,,,,,,
"Mims, Tevin",South Florida,DL,4.9,76,33.5,260,9.375,4.95,17.0,27.5,109.0,,
"Mitchell, Terrance",Oregon,DB,5.25,71,30.125,192,8.5,4.63,,34.0,117.0,6.57,4.0
"Moncrief, Donte",Mississippi,WO,5.85,74,32.375,221,9.125,4.4,13.0,39.5,132.0,7.02,4.3
"Moore, Zach",Concordia (MN),DL,5.28,77,33.75,269,9.625,4.84,23.0,33.5,123.0,7.41,
"Morris, James",Iowa,LB,5.0,73,30.75,241,9.125,4.8,18.0,34.5,117.0,6.94,4.36
"Morris, Stephen",Miami,QB,5.28,74,32.75,213,10.25,4.63,,30.0,111.0,7.36,4.49
"Moses, Morgan",Virginia,OL,5.3,78,35.375,314,9.875,5.35,,21.5,106.0,7.93,4.95
"Mosley, C.J.",Alabama,LB,6.5,74,33.375,234,10.75,,,35.0,118.0,7.3,4.4
"Muema, Adam",San Diego St.,RB,5.24,70,29.875,202,9.75,,,,,,
"Murphy, Jake",Utah,TE,5.1,76,31.75,249,10.0,4.79,24.0,33.0,114.0,7.18,4.27
"Murphy, Trent",Stanford,LB,5.65,77,33.875,250,11.125,4.86,19.0,35.5,118.0,6.78,4.2
"Murray, Aaron",Georgia,QB,5.2,73,30.625,207,9.125,,,,,,
"Najvar, Jordan",Baylor,TE,4.85,78,32.25,256,10.0,4.93,18.0,32.5,112.0,7.14,4.47
"Newsome, Jonathan",Ball St.,DL,5.17,75,33.25,247,9.625,4.73,21.0,34.0,117.0,7.31,
"Niklas, Troy",Notre Dame,TE,5.65,78,34.125,270,10.0,,27.0,32.0,114.0,7.57,4.55
"Nix, Louis",Notre Dame,DL,5.9,74,33.0,331,9.875,5.42,,25.5,97.0,8.29,
"Norwood, Kevin",Alabama,WO,5.15,74,32.125,198,10.0,4.48,8.0,33.0,121.0,6.68,4.32
"O'Donnell, Pat",Miami,ST/P,4.95,76,32.5,220,9.75,4.64,23.0,30.5,,,
"Pagan, Jeoffrey",Alabama,DL,5.3,75,33.0,310,9.625,,,,,,
"Palepoi, Tenny",Utah,DL,5.3,73,30.5,298,9.875,5.1,31.0,30.5,111.0,7.67,
"Paradis, Matthew",Boise St.,OL,5.02,75,32.375,306,9.875,5.34,23.0,26.0,103.0,7.6,4.46
"Patchan, Matt",Boston College,OL,4.9,78,33.0,302,9.375,4.97,22.0,33.5,,,
"Pedersen, Jacob",Wisconsin,TE,5.28,75,31.75,238,9.0,4.89,,28.5,111.0,7.55,4.4
"Pennel, Mike",Colorado State-Pue,lo DL,5.0,76,33.375,332,9.875,5.23,23.0,28.5,102.0,7.94,
"Perkins, LaDarius",Mississippi St.,RB,5.15,67,31.0,195,9.625,4.46,23.0,35.5,124.0,7.08,4.3
"Pierre-Louis, Kevi",Boston College,LB,4.65,72,32.25,232,10.125,4.51,28.0,39.0,128.0,6.92,4.02
"Powell, Ronald",Florida,LB,5.35,75,32.5,237,9.375,4.65,21.0,35.5,114.0,,
"Powell, Walt",Murray St.,WO,4.7,71,31.625,189,9.5,4.63,10.0,31.5,120.0,6.7,4.23
"Price, Jabari",North Carolina,DB,4.95,70,31.625,200,9.125,4.45,16.0,,,7.04,4.3
"Pryor, Calvin",Louisville,S,6.15,71,31.375,207,9.125,4.58,18.0,34.5,116.0,,
"Purifoy, Loucheiz",Florida,DB,5.31,71,32.75,190,8.5,4.61,6.0,35.5,120.0,,
"Quarles, Kelcy",South Carolina,DL,5.35,76,33.25,297,9.375,5.03,27.0,23.5,102.0,,
"Ramsey, Kaleb",Boston College,DL,5.0,75,32.875,293,9.75,,36.0,,,,
"Reaser, Keith",Florida Atlantic,DB,5.14,70,30.75,189,9.5,,22.0,,,,
"Redd, Silas",USC,RB,5.05,70,30.75,212,9.0,4.7,18.0,37.0,122.0,,
"Reese, Tevin",Baylor,WO,5.17,70,31.625,163,8.625,4.46,,41.0,132.0,6.63,4.18
"Reid, Caraun",Princeton,DL,5.25,74,33.0,302,10.5,4.91,20.0,26.5,106.0,7.59,
"Reilly, Trevor",Utah,LB,5.35,77,32.25,245,9.5,,26.0,,,,
"Renner, Bryn",North Carolina,QB,5.1,75,30.375,228,9.125,4.87,,25.5,108.0,7.22,4.3
"Reynolds, Ed",Stanford,S,5.1,73,30.75,207,8.5,4.57,15.0,32.5,117.0,,
"Reynolds, Rashaad",Oregon St.,DB,5.65,70,31.625,189,9.75,4.51,20.0,37.5,123.0,6.72,4.0
"Richardson, Antoni",Tennessee,OL,5.6,78,35.0,336,10.25,5.3,36.0,24.5,,,
"Richardson, Cyril",Baylor,OL,5.42,77,34.625,329,9.5,5.36,25.0,25.5,91.0,7.7,4.83
"Richardson, Paul",Colorado,WO,5.27,72,32.625,175,8.875,4.4,,38.0,124.0,7.09,
